hazard_id,HAZARD_BEGIN_DATE,HAZARD_END_DATE,HAZARD_TYPE_COMBO,NAME,POSTAL_CODE,FIPS_CODE,INJURIES,FATALITIES,PROPERTY_DAMAGE,CROP_DAMAGE,REMARKS,
9418644,7/6/2012,7/6/2012,Severe Storm/Thunder Storm - Wind,Washington                                                                                                                                            ,GA,"13303",0.00,0.00,2500.00,0.00,"NCDC_Thunderstorm Wind",
9418663,7/18/2012,7/18/2012,Severe Storm/Thunder Storm - Wind,Forsyth                                                                                                                                               ,GA,"13117",0.00,0.00,2500.00,0.00,"NCDC_Thunderstorm Wind",
9418675,7/27/2012,7/27/2012,Severe Storm/Thunder Storm - Wind,Wilkinson                                                                                                                                             ,GA,"13319",0.00,0.00,2500.00,0.00,"NCDC_Thunderstorm Wind",
9423222,1/10/2012,1/10/2012,Wind,Decatur                                                                                                                                               ,GA,"13087",0.00,0.00,2500.00,0.00,"NCDC_High Wind",
9423223,1/10/2012,1/10/2012,Wind,Decatur                                                                                                                                               ,GA,"13087",0.00,0.00,2500.00,0.00,"NCDC_High Wind",
9428442,5/17/2012,5/17/2012,Severe Storm/Thunder Storm - Wind,Effingham                                                                                                                                             ,GA,"13103",0.00,0.00,2500.00,0.00,"NCDC_Thunderstorm Wind",
9429255,6/10/2012,6/10/2012,Severe Storm/Thunder Storm - Wind,Houston                                                                                                                                               ,GA,"13153",0.00,0.00,2500.00,0.00,"NCDC_Thunderstorm Wind",
9431311,7/3/2012,7/3/2012,Severe Storm/Thunder Storm - Wind,Johnson                                                                                                                                               ,GA,"13167",0.00,0.00,2500.00,0.00,"NCDC_Thunderstorm Wind",
9431317,7/3/2012,7/3/2012,Severe Storm/Thunder Storm - Wind,Houston                                                                                                                                               ,GA,"13153",0.00,0.00,2500.00,0.00,"NCDC_Thunderstorm Wind",
9431332,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Jasper                                                                                                                                                ,GA,"13159",0.00,0.00,2500.00,0.00,"NCDC_Thunderstorm Wind",
9238109,6/20/2010,6/20/2010,Severe Storm/Thunder Storm - Wind,Screven                                                                                                                                               ,GA,"13251",0.00,0.00,2250.00,0.00,,
9238125,6/25/2010,6/25/2010,Severe Storm/Thunder Storm - Wind,Bryan                                                                                                                                                 ,GA,"13029",0.00,0.00,2250.00,0.00,,
9308986,6/18/2011,6/18/2011,Severe Storm/Thunder Storm - Wind,Chatham                                                                                                                                               ,GA,"13051",0.00,0.00,2250.00,0.00,,
9309009,6/26/2011,6/26/2011,Severe Storm/Thunder Storm - Wind,Bryan                                                                                                                                                 ,GA,"13029",0.00,0.00,2250.00,0.00,,
9323200,6/30/2011,6/30/2011,Severe Storm/Thunder Storm - Wind,Effingham                                                                                                                                             ,GA,"13103",0.00,0.00,2250.00,0.00,,
9424309,12/17/2012,12/17/2012,Severe Storm/Thunder Storm - Wind,Bulloch                                                                                                                                               ,GA,"13031",0.00,0.00,2250.00,0.00,"NCDC_Thunderstorm Wind",
9237138,4/11/2010,4/11/2010,Wildfire,Murray                                                                                                                                                ,GA,"13213",0.00,0.00,2200.00,0.00,,
